title,price,tags,platforms
Preserve,$9.74,"['Puzzle', 'City Builder', 'Turn-Based Strategy', 'Sandbox']","win, mac, linux"
Broventure: The Wild Co-op,$3.99,"['Action Roguelike', 'Co-op', 'Stylized', 'Arena Shooter']",win
Into the Restless Ruins,$13.49,"['Action Roguelike', 'Roguelike Deckbuilder', 'Dungeon Crawler', 'Roguelite']",win
Omega Crafter,$17.49,"['Multiplayer', 'Open World', 'Survival', 'Automation']","win, mac"
DOOM: The Dark Ages,$69.99,"['Action', 'FPS', 'Demons', 'Dark Fantasy']",win
Void Sails,$15.72,"['Exploration', 'Sailing', 'RPG', 'Atmospheric']",win
Cubic Odyssey,$22.49,"['Open World Survival Craft', 'Co-op', 'Base Building', 'Sandbox']",win
The Slormancer,$14.99,"['Hack and Slash', 'Action RPG', 'Dungeon Crawler', 'Loot']",win
Jacksmith: Weapons and Warriors,$4.97,"['Crafting', 'Strategy', 'Action', 'Time Management']",win
Labyrinth Of The Demon King,$15.99,"['Dungeon Crawler', 'Survival Horror', 'First-Person', 'Atmospheric']",win
The Precinct,$25.49,"['Detective', 'Crime', 'Sandbox', 'Top-Down Shooter']",win
Revenge of the Savage Planet,$37.99,"['Adventure', 'Co-op', 'Third Person', 'Split Screen']",win
Cash Cleaner Simulator,$13.49,"['Life Sim', 'Management', 'Physics', 'Relaxing']",win
Darfall,$21.24,"['Base Building', 'City Builder', 'RTS', 'Strategy']",win
The Midnight Walk,$39.99,"['Adventure', 'Atmospheric', 'Horror', 'Dark Fantasy']","win, group"
Tower Dominion,$15.74,"['Tower Defense', 'Strategy', 'Roguelike', 'Base Building']",win
Drop Duchy,$14.99,"['Puzzle', 'Strategy', 'Roguelike', 'Singleplayer']",win
Vellum,$13.99,"['Action Roguelike', 'Third-Person Shooter', 'Online Co-Op', 'Fantasy']",win
StarVaders,$24.99,"['Roguelike Deckbuilder', 'Deckbuilding', 'Turn-Based Tactics', 'Roguelite']","win, mac"
KIBORG,$24.99,"['Action RPG', 'Action Roguelike', ""Beat 'em up"", 'Hack and Slash']","win, mac"
Wuthering Waves,Free,"['Open World', 'Action', 'Anime', 'Free to Play']",win
Monster Prom 4: Monster Con,$14.99,"['Visual Novel', 'Comedy', 'LGBTQ+', 'Dating Sim']","win, mac, linux"
Tempest Rising,$39.99,"['RTS', 'Strategy', 'Base Building', 'Singleplayer']",win
Clair Obscur: Expedition 33,$49.99,"['Turn-Based Combat', 'Story Rich', 'Fantasy', 'Exploration']",win
FATAL FURY: City of the Wolves,$59.99,"['Action', '2D Fighter', '2D', 'PvP']",win
The Hundred Line -Last Defense Academy-,$59.99,"['Multiple Endings', 'Story Rich', 'Adventure', 'Anime']",win
Sunderfolk,$49.99,"['Tactical RPG', 'Turn-Based Tactics', 'Fantasy', 'PvE']",win
Dinkum,$19.99,"['Open World Survival Craft', 'Agriculture', 'Farming Sim', 'Life Sim']",win
The Elder Scrolls IV: Oblivion Remastered,$49.99,"['RPG', 'Open World', 'Singleplayer', 'Fantasy']",win
LUNAR Remastered Collection,$49.99,"['Adventure', 'JRPG', 'RPG', 'Anime']",win
Promise Mascot Agency,$24.99,"['RPG', 'Adventure', 'Open World', 'Simulation']",win
Blue Prince,$29.99,"['Puzzle', 'Exploration', 'Mystery', 'Investigation']",win
South of Midnight,$39.99,"['Female Protagonist', 'Action-Adventure', 'Fantasy', 'Magic']",win
Haste,$19.99,"['Fast-Paced', 'Action', 'Female Protagonist', '3D Platformer']","win, mac, linux"
Emissary Zero,$8.99,"['Horror', 'Multiplayer', 'Online Co-Op', 'Psychological Horror']",win
The First Berserker: Khazan,$59.99,"['Souls-like', 'Difficult', 'Hack and Slash', 'Action RPG']",win
